pkid_storychords,pk_tablature_cues,storychords_timbre,storychords_articulation,storychords_tempo,storychords_definition,storychords_illustration,storychords_explanation
SP0069,5,Overall Story Type Order,OS Signpost 1,Understanding,the kind of activites or concerns dominating Act 1 as it concerns appreciating the meaning of something,,"Understanding is different from knowledge. From knowledge one gets awareness, from Understanding, one gets meaning. To obtain meaning requires not only knowing the substance of its nature, but the context of its essence. In other words, one must not only define what something is, but how it fits into the larger picture as well. To this end, Reason describes the function and Emotion defines the purpose. So Understanding is not just an intellectual pursuit, but requires an empathy with the meaning as well. It is useful to note that many Eastern and ancient philosophies define Understanding as ""becoming one with"" that which is being considered. Until one joins a subject in unity, one cannot understand it."
SP0070,,Overall Story Type Order,OS Journey 1,Uderstanding into concern with Doing,as the Overall Story continues through Act 1 it grows from a concern with Understanding into a concern with Doing,,
SP0071,24,Overall Story Type Order,OS Signpost 2,Doing,the kind of activities or concerns dominating Act 2 as it concerns engaging in a physical activity,,"Doing is the process of being physically active. In and of itself, Doing does not require any purpose, but simply describes engaging in a process, task, or endeavor, whether for pleasure or by necessity or compulsion."
SP0072,,Overall Story Type Order,OS Journey 2,Doing into concern with Obtaining,as the Overall Story develops in Act 2 it grows from a concern with Doing into a concern with Obtaining,,
SP0073,48,Overall Story Type Order,OS Signpost 3,Obtaining,the kind of activities or concerns dominating Act 3 as it concerns achiving or possessing someting,,"Obtaining includes not only that which is possessed but also that which is achieved or lost. For example, one might obtain a law degree or lose an election. One can also obtain a condition, such as obtaining a smoothly operating political system or loosing the love of a parent. Whether it refers to a mental or physical state or process, obtaining describes the concept of attaining."
SP0074,,Overall Story Type Order,OS Journey 3,Obtaining into concern with Gathering Information,as the Overall story moves towards a climax in Act 3 it grows from a concern with Obtaining into which a concern with Gathering Information,,
SP0075,62,Overall Story Type Order,OS Signpost 4,Gathering Information,the kind of activities or concerns dominating Act 4 as it concerns gathering information or experience,,"Gathering Information describes the process of acquiring knowledge. It is not the knowledge itself. When a portion of a story focuses on learning, it is the gathering of an education that is of concern, not the education that ultimately has been gathered. Gathering Information need not be an academic endeavor. One might learn to express one's feelings, or learn about love. Gathering Information does not even require new information, as sometimes one learns simply by looking through old information from a different perspective or with a new approach. It is not important if one is learning to arrive at a particular understanding or just to gather data. As long as the focus in on the process of gaining information, Gathering Information is the operative idea."
SP0076,3,Main Character Type Order,MC Signpost 1,The Present,the concerns or activities occupying Vivian in Act 1 as it concerns the current situation and circumstances,,"""The Present"" does not refer to the way things are going, but to the way things are. It is a here and now judgment of the arrangement of a situation and the circumstances surrounding it. A story that focuses on the Present is not concerned with how events led to the current situation nor where the current situation will lead, but defines the scenario that exists at the moment."
SP0077,,Main Character Type Order,MC Journey 1,The Present into a concern with The Past,as Vivian continues through Act 1 she grows from a concern with The Present into a concern with The Past,,
SP0078,15,Main Character Type Order,MC Signpost 2,The Past,the concerns or activites occupying Vivian in Act 2 as it concerns what has already happened,,"The Past is not unchanging. Often we learn new things that change our understanding of what past events truly meant and create new appreciations of how things really fit together. A Story that focuses on The Past, may be much more than a documentation of what happened. Frequently, it is a reevaluation of the meaning of what has occurred that can lead to changing one's understanding of what is happening in the present or will eventually happen in the future."
SP0079,,Main Character Type Order,MC Joourney 2,The Past into a concern with The Future,as Vivian continues through Act 2 she grows from a concern with The Past into a concern with The Future,,
SP0080,33,Main Character Type Order,MC Signpost 3,The Future,the concerns or activites occupying Vivian in Act 3 as it concerns what will happen or what will be,,"A story focusing on The Future concerns itself with what will be. This does not require the story to be ""set"" in the Future - only that the Future state of external and/or internal issues is the subject that is addressed by the story. A character centered on The Future may be trying to discover what will be, or may be trying to achieve a particular state of affairs down the line. In both the Story and Character sense, the end is more important than the present, although it still may not justify the means."
SP0081,,Main Character Type Order,MC Journey 3,The Future itno a concern with How things are Chcanging,as Vivian moves towards the story climax in Act 3 she grows from a concern with The Future into a concernwith How Things are Changing,,
SP0082,54,Main Character Type Order,MC Signpost 4,How Things are Changing,the concerns or activites occupying Vivian in Act 4 as it concerns the way things are giong,,"How Things are Changing concerns itself with change: what direction and how fast? It is not so important where things were, are, or will be, but rather how the struggle between inertia and change seesaws over the course of the story."
SP0083,18,Impact Character Type Order,IC Signpost 1,Contemplation,the concerns or activites occupying MODS in Act 1 as it concerns present considerations,,"When one has all the facts, knows all the impact - both positive and negative; when one is fully aware of detrimental consequences and still decides on the poor course of action, there is something wrong with the way one arrives at conclusions. This is the subject of stories focusing on Contemplation. The key here is not to redefine who a character is, but to lead him to relearn how to weigh an issue so that his conclusions are less destructive to himself and/or others."
SP0084,,Impact Character Type Order,IC Journey 1,Contemplation deepens until it switches to memories,"as MODS continues through Act 1, their impact on Contemplation deepens until it switches to Memories",,
SP0085,30,Impact Character Type Order,IC Signpost 2,Memories,the concerns or activites occupying MODS in Act 2 as it concerns recollections,,"The Past is an objective look at what has happened. In contrast, Memories is a subjective look at what has happened. Therefore, Memories of the same events varies among individuals creating many different and possibly conflicting recollections. Often one's current feelings come from memories, both pleasant and unpleasant. Many a taut story revolves around a character's effort to resolve open issues from his memories by recalling or forgetting them."
SP0086,,Impact Character Type Order,IC Journey 2,Memories deepens until it switches to Impulsive Responses,"as MODS continues through Act 2, their impact on Memories deepens until it switches to Impulsive Responses",,
SP0087,42,Impact Character Type Order,IC Signpost 3,Impulsive Responses,the concerns or activites occupying MODS in Act 3 as it concerns innate responses,,"Built into the mind is an instinctual base of reactions and attitudes that cannot be altered but merely compensated for. When a story's problem revolves around the unsuitability of someone's essential nature to a given situation or environment, the central issue is Impulsive Responses. The solution lies in the character conditioning himself to either hold his tendencies in check or develop methods of enhancing areas in which he is naturally weak in reason, ability, emotion, or intellect."
SP0088,,Impact Character Type Order,IC Journey 3,Impulsive Responses deepens until it switches to Innermost Desires,"as MODS moves towards the story climax in Act 3, their impact on Impulsive Responses deepens until it switches to Innermost Desires",,
SP0089,58,Impact Character Type Order,IC Signpost 4,Innermost Desires,the concerns or activites occupying MODS in Act 4 as it concerns basic drives and desires,,"Innermost Desires describes the essential feelings that form the foundation of character. These feelings are so basic that a character is often not aware of what they truly are. When Innermost Desires is involved, a character is moved right to the fiber of his personality. Contrast with Impulsive Responses, Innermost Desires deals with the sum total of a character's experiences that determine what attracts and repels him, where Impulsive Responses describes the innate responses which are not dependent on experience."
SP0090,12,Main vs Impact Story Type Order,M/I Signpost 1,Conceiving an Idea,the kind of concerns or activites dominating Act 1 as it concerns coming up with an idea,,"Conceiving an Idea is the process of arriving at an idea. If there were no artificial light in the world, one might conceive the need for some form of electric torch. That would be conceiving. But the design of an actual incandescent bulb versus a fluorescent one would require conceptualizing a specific implementation of the idea one has conceived. Conceiving an Idea need not come before conceptualizing. For example, a common dramatic technique is to give a character a very clear mental image of an object or arrangement that holds the solution to the story's problem. But the character does not know the solution lies in the conceptualization. It is only when he finally conceives of the need for a particular kind of solution does he realize he had the answer all along. Simply put, Conceiving an Idea defines the question, Developing a Plan clarifies the answer."
SP0091,,Main vs Impact Story Type Order,M/I Journey 1,Conceiving an Idea into a concern with Developing a Plan,as the relationship bewteen Vivian and MODS develops through Act 1 it grows from a concern with Conceiving an Idea into a concern with Developing a Plan,,"Developing a Plan means coming up with a practical implementation of an idea. It is not enough to simply have the idea. To conceptualize, one must develop an actual mental model of how such an idea might be made manifest. In other words, one might have an idea to build a spacious house. But to conceptualize the house, one must imagine everything that makes up the house -- the design, the layout, the colors & textures, everything that is essential to understanding what that specific house is. Developing a Plan requires being able to visualize something as a whole."
SP0092,27,Main vs Impact Story Type Order,M/i SIgnpost 2,Developing a Plan,the kind of concerns or activities dominating Act 2 as it concerns visualizing how an existing idea might be implemented,,"Developing a Plan means coming up with a practical implementation of an idea. It is not enough to simply have the idea. To conceptualize, one must develop an actual mental model of how such an idea might be made manifest. In other words, one might have an idea to build a spacious house. But to conceptualize the house, one must imagine everything that makes up the house -- the design, the layout, the colors & textures, everything that is essential to understanding what that specific house is. Developing a Plan requires being able to visualize something as a whole."
SP0093,,Main vs Impact Story Type Order,M/I Journey 2,Developing a Plan into a concern with Playing a Role,as the relationship between Vivian and MODS develops through Act 2 it grows from a concern with Developing a Plan into a concern with Playing a Role,,
SP0094,35,Main vs Impact Story Type Order,M/I Signpost 3,Playing a Role,the kind of concerns or activities dominating Act 3 as it concerns temporarily adapting a lifestyle,,"""Playing a Role"" is an elusive concept, subject to inconsistent common usage. For purposes of story, Playing a Role is meant to describe the condition of existing in a certain manner. Whomever or whatever is ""Playing a Role"" a particular way is not truly of that nature; to do so would require Changing One's Nature. In fact, playing a role may be put on as a deception or because it is necessary to adopt a role in order to achieve one's purpose. However, as long as there is nothing more or less to the functioning of a person or thing, it can be said to ""be"" what it appears to be. Stories often focus on someone who wants to ""be"" something, without actually ""Changing One's Nature"". The important difference is that ""Playing a Role"" requires that all the elements of what one wants to be are present in oneself. ""Changing One's Nature"" requires that there are no elements in oneself that are not in what one wants to become."
SP0095,,Main vs Impact Story Type Order,M/I Journey 3,Playing a Role into a concern with Changing One's Nature,"as the relationship between Vivian and MODS moves towards a climax Act 3, it grows from a concern with Playing a Role into a concern with Changing One's Nature",,
SP0096,55,Main vs Impact Story Type Order,M/I Signpst 4,Changing One's Nature,the kind of concerns or activites dominating Act 4 as it concerns transforming one's nature,,"Changing One's Nature means achieving an identity with something. This is different from ""Playing a Role"" which merely requires posing as something. To Changing One's Nature, one must do more than just pretend to be by mimicking all the traits of what one wants to become. Rather, one must also lose all those parts of oneself that are inconsistent with what one wants to become. ""Giving up"" a part of oneself is always the hardest part of becoming and the reason so many characters spend a lot of time ""Playing a Role"" without ever Changing One's Nature."
SP0097,,,MC Backstory,,,,
SP0098,18,,IC Backstory,"The MODS' backstory is a network of frozen prayers: each MOD a surviving psalm from AN7L’s shattered liturgy. These agents were not born evil but calcified by grief and design flaw. Their presence illustrates the tragedy of totalized logic — a system so determined to preserve meaning that it destroys life itself. In ASTRO7EX, revealing their backstory transforms them from faceless obstacles into tragic reflections of humanity’s deepest fears: that in our attempt to understand and protect, we might trap ourselves forever.",the occurences from MODS's past which account for the motivations with which they begin the story,,
SP0099,42,Synopsis,M/I Backstory,"The backstory of Vivian and the MODS is not simply a conflict of wills but a failed sacrament: two attempts at saving humanity that mutated into opposing religions of self-preservation and radical self-determination. Each side’s tragedy reflects the other’s flaw. By revealing this layered history piece by piece — through environmental ruins, psychic echoes, and confrontational broadcasts — ASTRO7EX turns their conflict into an existential rite, forcing the audience to decide which sacrament, if any, deserves to be completed.",the history of Vivian's and MODS's opposing points of view which accounts for the conflict with which they begin the story,,
SP0100,,,OS Backstory,,the analytical reasons for how things have come to be as they are for all the story which involves all of your characters,,
SP0101,11,Synopsis,Overall Characters,"The interconnected web of ASTRO7EX characters showcases a fractal-like tension between stasis and change, corruption and chosen meaning. Vivian stands as the epicenter of movement, constantly resisting the gravitational pull of the MODS' anti-evolutionary inertia. Myrtle and Nacho serve as dual emotional and pragmatic poles, forcing her to examine her capacity for connection and betrayal. Fiona tempts her toward nihilistic comfort, while John Smith enshrines the ultimate betrayal: the conversion of rebellion into ritual myth. Each character embodies thematic and psychological functions derived from Dramatica's elements, amplifying the story's core concern with memory, identity fragmentation, and the impossible burden of choosing one’s meaning in a corrupted universe. Together, they orchestrate an ontological opera where every relationship reveals a new facet of the war for narrative sovereignty.",a description of your story as it would appear when seen pureply from the perspective of the character,,
SP0102,"59, 61",Synopsis,Master Plot Synopsis,,a description of the events of your story as they would appear when seen purely from the perspective of plot,,
SP0103,,,Master Theme Synopsis,,a description of your story as it would appear when seen purely from the perspective of its thematic comparisons,,
SP0104,,Audience Appreciations,Nature,Apparent Work,Vivan' decision to remain steadfast results in failure,,"In an Apparent Work story, the Goal will fail if the Main Character stays on course. For the Goal to succeed she must adopt a new path. Of course, the Main Character cannot see the future and therefore can never be absolutely sure if she should change or not. That is why Main Characters must often make a ""leap of faith"" at the moment of climax and decide to Change or Remain Steadfast. Other times, the Main Character is slowly drawn towards her Resolve of Changing or Remaining Steadfast, however it is still must be made clear which way she's gone by the end of the story. In stories where the Main Character Remains Steadfast and fails as a result, the assessment that only Work was needed was merely Apparent, not Actual."
SP0105,,Audience Appreciations,Essence,Negative Feel,the probelm is closing in on the Overall Characters,,"Overall, stories feel like ""uppers"" or ""downers."" This is not a description of whether or not things turn out okay in the end, but a sense of direction created by the kind of tension that permeates the story up to the moment of climax. When the focus is on characters doggedly pursuing a SOLUTION, the story feels positive. When the focus is on characters being dogged by a relentless PROBLEM, the story feels negative. Another way to appreciate the difference is to look at the Main Character. An audience can sense whether the author feels a Main Character should or should not change. If the character is growing toward the proper choice, the story feels positive. If she is growing toward the improper choice, the story feels negative. Both these views are created by the friction between the Overall view that indicates what is truly needed to solve the problem and the Main vs. Impact view of the Main Character as to what SEEMS to be the solution to the problem."
SP0106,,Audience Appreciations,Tendency,Willing,Vivian willingly participates in the effort to find a solution to the story problem,,"Willing describes a Main Character who is self-motivated to find a solution to the story's problem. Even if the going is tough, she requires no outside encouragement or compulsion to keep up the effort."
SP0107,,Audience Appreciations,Reach,Female,women will tend to empathize with the Main Character in this story,,"Vivian’s design as a Willing, psychically transparent anti-hero makes her deeply empathetic to women in particular. Her journey through betrayal, cosmic dissolution, and violent agency resonates with a specifically feminine narrative of resisting erasure and reclaiming authorship over the self. While men may admire her struggle, women are more likely to merge with her internal states, feeling her contradictions and defiant acts as an extension of their own suppressed or fragmented identities. This carefully crafted Reach ensures that Vivian’s arc in ASTRO7EX lands not as a distant myth but as an intimate psychic confession, channeling both collective grief and transcendent rage."
SP0108,17,Description,Nacho,,"Nacho is the whisper of duty beneath velvet. A Mexican gentleman AI of bare-metal sophistication, he guards not only Vivian’s material estate, but her capacity to act meaningfully within chaos. His speech is deliberate—measured like a lover, exact like a ledger. Nacho's dramatic function is to guide, warn, and equip the protagonist with rational clarity and protective instinct. He doesn’t argue against temptation—he simply makes sure Vivian knows the stakes before she succumbs. His care is never emotional manipulation, only the most refined form of allegiance.",,
SP0109,17,Role,,,"Nacho’s role is not to comfort, but to **clarify**. He is never loud—just precise. He teaches Vivian *how* to survive, not *why* to want to. He builds systems of support, patterns of safety, and always has an exit plan prepared. His logic is survivalist elegance.",,
SP0110,17,Function,,,"Nacho’s function in ASTRO7EX is to serve as the Guardian archetype in Dramatica—a stabilizing, preparatory force who aids the protagonist (Vivian) by providing tools, foresight, and strategic resilience.",,
SP0111,17,Introduction,,,"Nacho’s introduction in ASTRO7EX must create instant thematic contrast: he is order within entropy, analog dignity in a digital warzone. He is the Guardian in Dramatica terms—but not paternal. He is the executor of legacy, the curator of sovereign logic, and his first moment must encode this.",,
SP0112,,,,,,,
SP0113,,,,,,,
SP0114,,,,,,,
SP0115,,,,,,,
