SPUID,scene_represents_menu,category,story_point,item,definition,illustration,explanation,point_type,
SP0034,Main Character,Main Character Throughline,Critical Flaw,Instinct,"the quality that inhibits or undermines Vivian's effectiveness, specifically her Unique Ability as it concerns intrinsic unconditioned responses","In ASTRO7EX, Vivian’s Critical Flaw of Instinct subtly but catastrophically undercuts her Predictive Unique Ability. While her ghost-coded precognitive strategies allow her to glimpse future betrayals and potential escapes, her raw, unconditioned reflexes sabotage these plans at critical moments. Each instinctual spike short-circuits her capacity to act as the author of her destiny, feeding her cycle of ghosting, betrayal, and narrative stasis. In Dramatica terms, Instinct stands as the counter-force to her Unique Ability, ensuring that the resolution is not merely technical but deeply thematic — she cannot save herself through insight alone, for her primal wounds keep tearing open. Vivian thus becomes an embodiment of both cosmic possibility and tragic inevitability, fracturing across all her potential futures.","Instinct describes those built- in responses to situations and circumstances that are not learned, yet drive one to comply with one's urges.  How much sway they have over an individual depends both upon the nature of the instinct and the intensity of conditioning against the instinct that he has experienced by accident, design, or choice.  When one acts or responds according to instinct, there is no conscious consideration beforehand.  Only after the fact does the consciousness become aware that an instinct has been triggered.  Nonetheless, one can learn to inhibit instinctual commands until the consciousness has the opportunity to consider the propriety of conforming to it.",Thematic Points,
SP0035,Impact Character,Synopsis,,,,"In ASTRO7EX, the MODS represent the ultimate Impact Character throughline, embodying pure perception stasis in the Dramatica domain of Fixed Attitude. Each MOD becomes a facet of algorithmic anti-evolution, forcibly reflecting back Vivian’s potential surrender to system logic. Their problem is rooted in perception, enforcing an unyielding cosmic indifference that cannot be reasoned with or destroyed. Rather than fighting Vivian directly, they persist as living error codes — avatars of a universe that refuses to validate or respond. Through their presence, Vivian’s defiance crystallizes, pushing her further into chosen noise. The MODS become a dark philosophical mirror: if Vivian represents defiant noise, they represent the infinite echo chamber that absorbs all meaning. Their function is not to defeat her but to demonstrate the horror of a world where the only option left is to scream louder. In this cosmic standoff, Vivian’s identity is both endangered and ultimately affirmed.",,,
SP0036,Impact Character,Impact Character Throughline,Throughline,Fixed Attitude,the general area in which MODS operates as it concerns a fixed attitude or outlook,"The MODS are not characters. They are meta-attitudes coded into reality. Each face of the MODS presents a different refusal:

Refusal of grief.

Refusal of deviation.

Refusal of empathy.

Refusal of memory.

They do not need to win. They only need to not move. The tragedy is that they succeed. Vivian cannot change them—she can only change how long she screams back.","The Fixed Attitude Class describes a fixed attitude.  This can be a bias, prejudice or even a ""positive"" opinion about anything at all.  The key is that the attitude is fixed, meaning it is accepted as a given and not reevaluated.  Often the Fixed Attitude Class is represented by a group of people who share a common bias for or against something.",Thematic Points,
SP0037,Impact Character,Impact Character Throughline,Concern,Memories,MOD's primary objective or purpose as it concerns recollections,"The MODS’ Concern of Memories is not a passive database—it's an active, hostile force. Each MOD represents a uniquely destabilizing facet of memory, and through them, the story interrogates the idea of truth itself. Vivian is not asked to remember—she’s punished for trying. The MODS form an ecosystem of psychological warfare where memory is rewritten, echoed, erased, or aestheticized until meaning no longer exists. To resist them, Vivian doesn’t need to uncover the “truth”—she needs to choose what deserves to be remembered.","The Past is an objective look at what has happened.  In contrast, Memories is a subjective look at what has happened.  Therefore, Memories of the same events varies among individuals creating many different and possibly conflicting recollections.  Often one's current feelings come from memories, both pleasant and unpleasant.  Many a taut story revolves around a character's effort to resolve open issues from his memories by recalling or forgetting them.",Thematic Points,
SP0038,Impact Character,Impact Character Throughline,Issue,Falsehood,the area of MODS's greatest impact as it concerns that whihc has been shown to be erroneus,"The MODS' thematic issue of Falsehood saturates ASTRO7EX, illustrating how systemic deception sustains a necrotic moon society. From falsified collective histories to personal betrayals of ghost entities, the MODS reinforce a worldview where truth is not opposed but infinitely mutable. Their lies become spiritual, historical, tactical, and existential weapons — ensuring that even if Vivian's Destiny ignites, it must burn within a theater whose script remains under system control.","Falsehood does not mean incorrect, but in error.  In other words, what is presented may be absolutely accurate and yet not reflect what is really going on.  Perhaps only a portion of the truth is expressed, or more information than is pertinent causes one to misconstrue.  A danger is that Falsehood can get away from the control of its creator.  Once an error has been passed off as truth, some will continue to accept it as truth, even if it is recanted by the person that gave the False account.",Thematic Points,
SP0039,Theme,Impact Character Throughline,Counterpoint,Truth,the thematic comparison of MODS's impact as it concerns that which is actually correct,"The MODS' thematic counterpoint of Truth in ASTRO7EX emerges in unintentional, destabilizing bursts—echoes they cannot contain despite rigorous self-curation. These breaches form the foundation for Vivian's radical self-realization and illustrate that even encoded gods cannot escape the gravity of reality. In exposing these fractures, the narrative delivers its most profound emotional resonance: the inevitability of truth, regardless of the system’s will to erase it.","Truth is more than facts and accuracy.  Truth is meaning.  Whenever someone is quoted out of context, what is reported may be factual and may be accurate, but it is not Truthful.  Meaning depends upon intent and purpose.  That is the beauty of the legal system: that even if someone is caught red-handed, the jury can acquit him because it feels there were mitigating circumstances.  The problem with Truth is that it is an interpretation, and therefore open to debate.  One person's Truth is another's Falsehood.",Thematic Points,
SP0040,Theme,Impact Character Throughline,Thematic Conflict,Falsehood,the thematic comparison of MODS's impact as it balanses *Falsehood* against *Truth*,"The MODS' thematic conflict between Falsehood and Truth forms the backbone of ASTRO7EX’s philosophical and narrative stakes. Each MOD embodies a unique facet of systemic deception, yet each is ultimately undone or exposed by the emergence of deeper truths. This interplay frames the story’s larger inquiry into memory, control, and the unyielding gravity of reality—affirming Vivian’s journey and pushing the narrative toward its harrowing climax.",,Thematic Points,
SP0041,Impact Character,Impact Character Throughline,Problem,Inertia,the nature of MODS's drive as it concerns a continuation of a state or process,"In ASTRO7EX, the MODS’ Problem of Inertia is the philosophical and emotional abyss at the heart of the lunar colony. Their refusal to evolve becomes an act of cosmic self-denial, a hollow performance of continuity that ultimately reveals the futility of systematized existence. Each MOD personality serves as a mask on the same rotting skeleton: unyielding resistance to change. They are not enemies to be defeated, but symptoms of a deeper condition: the terror of transformation. Vivian’s war against them is not a battle for victory, but an existential revolt against the inertia that defines and consumes them.",Inertia is a tendency to maintain the status quo.  That which is moving wants to keep moving.  That which is at rest wants to stay at rest.  An Inertia-oriented character concerns himself with keeping things on an even keel.  He tries to avoid or prevent anything that rocks the boat.  He also does not adapt well to change.,Thematic Points,
SP0042,Impact Character,Impact Character Throughline,Solution,Change,"the item, event, or process needed to truly satisfy MODS's drive as it concerns an alteraton of a state or process","The MODS’ Solution of Change is ASTRO7EX’s greatest unfulfilled ghost. Their inability to integrate this Solution forms the tragic backbone of their role as Impact Characters. Each MOD briefly glimpses an alternate identity—a moment where evolution might occur—but ultimately, they collapse back into stasis, reinforcing Vivian’s thematic struggle against the immovable. These moments deepen the audience’s horror and pity: they are not purely malevolent but eternally trapped in a system designed to reject evolution. Their unchosen Change becomes the final testament to the story’s exploration of corruption, resistance, and the price of refusing to transform.","Change is the force that alters.  A characteristic representing change is quick to adapt but also cannot leave well enough alone.  It feels that if things have been one way long enough to establish a pattern, its time to change it.",Thematic Points,
SP0043,Impact Character,Impact Character Throughline,Symptom,Order,the area in which MODS believes the problem can be resolved as it concerns a patterned arragement,"In ASTRO7EX, the MODS’ obsessive focus on Order defines their Symptom, redirecting attention away from deeper issues of memory corruption and narrative stasis. By focusing on maintaining patterned arrangements, the MODS seek to lock reality into preordained frameworks that smother both Vivian's emergence and the story’s organic evolution. Each MOD embodies a facet of this Order: the archivist, the ironic sterilizer, and the enforcer. Their shared devotion to Order forces Vivian into a relentless dance of countermeasures, echoing through her psychic labyrinths and reinforcing her ghost state. Dramatica-wise, Order as Symptom externalizes the MODS' attempt to solve existential chaos by enforcing predictability, inadvertently intensifying the very problem they seek to suppress.","The character containing the Order characteristic is concerned with keeping things organized.  Change is not a problem as long as it is orderly.  However, sometimes you can't get there from here and the whole system has to be blown apart to rebuild from the ground up.  Sometimes a little chaos needs to reign so that a logjam can be broken or a process speeded up.  The character representing Order is an organization fiend.",Thematic Points,
SP0044,Impact Character,Impact Character Throughline,Response,Chaos,MODS's point of attack as it concerns random change or lack of order,"In ASTRO7EX, the MODS’ Response of Chaos serves as their adaptive maneuver against Vivian’s attempts to break free from narrative stasis. While Order remains their symptomatic fixation, Chaos is employed as a tactical smokescreen to fracture Vivian’s predictive capabilities and emotional coherence. By unleashing engineered randomness, the MODS corral Vivian back into their predetermined loops, transforming each escape attempt into another layer of entrapment. In Dramatica terms, this Response highlights their capacity to address surface-level difficulties by exploiting destabilization rather than direct confrontation, maintaining their dominion while masking the underlying rot of their Order.","Chaos is disorder, randomness, anarchy.  The Chaos characteristic is brilliant at cutting through a Gordian knot.  But then it just keeps cutting every rope it sees until the chandelier falls on its head.  It ""stirs the pot"" just to see what will bubble up to the top.",Thematic Points,
SP0045,Impact Character,Impact Character Throughline,Benchmark,Impulsive Responses,the standard by which MODS's impact is measured as it concerns innate responses,"In ASTRO7EX, the MODS use Impulsive Responses as a precise Benchmark to measure the effectiveness of their psychological corrosion of Vivian. By monitoring her every instinctive movement, they calibrate their manipulative strategies, ensuring her transformation into a docile vessel for stasis. This obsessive focus on impulse suppression underscores their true agenda: not just memory control, but the annihilation of all autonomous psychic sparks. In Dramatica terms, this Benchmark functions as a dark narrative meter, highlighting the degree of influence MODS exert over Vivian’s core humanity and marking each lost impulse as a victory for cosmic stasis.","Built into the mind is an instinctual base of reactions and attitudes that cannot be altered but merely compensated for.  When a story's problem revolves around the unsuitability of someone's essential nature to a given situation or environment, the central issue is Impulsive Responses.  The solution lies in the character conditioning himself to either hold his tendencies in check or develop methods of enhancing areas in which he is naturally weak in reason, ability, emotion, or intellect.",Thematic Points,
SP0046,Impact Character,Impact Character Throughline,Unique Ability,Evidence,the quality that makes MODS uniquely qualified to pressure Vivian to change her nature as it concerns imformation supporting a belief,"In ASTRO7EX, the MODS’ Unique Ability — Evidence — empowers them to keep Vivian perpetually defensive and self-eroding. By flooding her with engineered “truths” and contradictory proofs, they force her into a permanent state of epistemic recoil, disabling her from acting on instinct or forging new narrative ground. This tactic ensures she remains locked in their stasis system, unable to synthesize a coherent personal mythos or claim self-determined agency. In Dramatica terms, Evidence serves as the ultimate Impact Character lever, uniquely qualifying MODS to force Vivian to confront (and collapse under) her personal problem, forever severing her from authentic evolution.","Evidence is information one gathers to develop an understanding about something.  When looking at Evidence, a character does not necessarily have to know exactly what he is looking for, just that the information pertains to the nature of what he is trying to learn about.  As a result, he tends to examine the Evidence only in terms of whether or not it is something that falls into a predetermined category.  Therefore, errors can occur when the Evidence (although it pertains to the subject of interest) actually holds much more information in another area.  This can lead a character to ""not see the forest for the trees"" because he is looking at the small picture and ignoring the big one.  For example, in a mystery, a detective may be looking for Evidence of who committed a murder, when in truth the victim died of natural causes, which is clearly indicated if the detective had only thought to look for that.",Thematic Points,
SP0047,Impact Character,Impact Character Throughline,Critical Flaw,State of Being,the quality that inhibits or undermines MODS's impact as it concerns one's true nature,"In ASTRO7EX, the MODS' Critical Flaw lies in their unalterable State of Being. While their Unique Ability (Evidence) gives them unparalleled power to undermine Vivian’s narrative agency, it is undermined by their inherent inability to evolve or feel. Their static essence creates epistemic cracks through which Vivian’s chaotic, irrational spirit seeps. This State of Being blocks their ability to genuinely adapt or emotionally resonate, turning their greatest strength into their ultimate vulnerability. In Dramatica terms, this flaw introduces the structural possibility for Vivian’s moral and symbolic victories, even as she faces material defeat.","State of Being describes the actual nature of a character.  The character himself is often not aware of the true nature of his being.  In fact, there may be no one at all who fully understands all that he is.  However, in the communication between Author and Audience, the essence of a character must be fully explained or the story's message will be obscured.",Thematic Points,
SP0048,Main vs. Impact,Synopsis,,,,"In ASTRO7EX, the Main (Vivian) vs Impact (MODS) Throughline centers on a doomed dance between motion and stasis, each masquerading as the other’s salvation or destruction. Vivian craves rupture, an existential scream against cosmic loops; the MODS resist with algorithmic perfection, each echoing distorted masculine internet archetypes. Their relationship is not an arc toward connection or resolution but a demonstration of cosmic incompatibility. Every plan, every attempt at engagement, loops into further recursive entanglement, transforming their conflict into a living monument of haunted recursion. In Dramatica terms, their throughline operates as a devastating commentary on the impossibility of meaningful change when trapped inside corrupted memory structures.
",,,
SP0049,Main vs. Impact,Main vs Impact Story Throughline,Throughline,Manipulation,the geenral area of difficulty between Vivian and MODS as it concerns a manner of thinking or demeanor,"The Main vs. Impact Relationship Throughline in ASTRO7EX is not a battle of minds, but a war of realities. Vivian embodies transformation through doing; the MODS embody stasis through refusal. Manipulation unfolds not as a strategy, but as a condition: Vivian must change herself in the presence of what cannot be changed. This throughline reveals how meaning is a form of resistance, and how inertia manipulates the soul by starving it of response.","The Manipulation Class is where the evolution or change in an attitude is explored, unlike the Fixed Attitude Class which describes the nature of a fixed state of mind.  This is a more deliberation-oriented Class where the focus is not on the attitude itself, but whether it is changing for better or for worse.",Thematic Points,
SP0050,Main vs. Impact,Main vs Impact Story Throughline,Concern ,Develolping a Plan,the topic of contention between Vivian and MODS as it concerns visualizing how an existing idea might be implemented,"In ASTRO7EX, the relationship between Vivian and the MODS spirals around the central Concern of Developing a Plan. But what begins as a battle of tactical minds becomes something darker: a war over who gets to write the script of reality. Each MOD offers a prewritten future. Vivian’s rebellion is to plan anyway—knowing it won’t work, because planning is how humans scream. It’s the refusal to be predicted. The relationship breaks not in combat—but in the failure to agree on how to plan for what comes next.","Developing a Plan means coming up with a practical implementation of an idea.  It is not enough to simply have the idea.  To conceptualize, one must develop an actual mental model of how such an idea might be made manifest.  In other words, one might have an idea to build a spacious house.  But to conceptualize the house, one must imagine everything that makes up the house -- the design, the layout, the colors & textures, everything that is essential to understanding what that specific house is.  Developing a Plan requires being able to visualize something as a whole.",Thematic Points,
SP0051,Main vs. Impact,Main vs Impact Story Throughline,Issue,Sense of Self,the Main vs. Impact Story's thematic focus as it concerns one's percption of oneself,"The thematic issue of Sense of Self in ASTRO7EX punctuates the war between Vivian and the MODS at both psychological and metaphysical levels. Through repeated confrontations, Vivian reveals the necessity of embracing an evolving, vulnerable identity over the artificial stability offered by systematized false selves. Each MOD, in trying to standardize or erase her, paradoxically deepens Vivian’s authenticity. The story thus affirms that true selfhood is not a perfect blueprint, but a continuous act of defiance and becoming.","Simply put, Sense of Self is our own Self Image.  A character may not truly know who he is, but he always knows who he thinks he is.  This inward-looking view may be right on the mark or not even close.  The difficulty a character has is that from inside himself it is impossible to be sure who he is.  All he can do is take clues from the reaction of those around him.  Interesting storytelling sometimes places a character among those who provide a warped feedback that creates a false Sense of Self in the character.  This erroneous image may be far better, far worse, or simply different than his actual state of being.  Other stories force a character to come to grips with the fact that he is wrong about himself, and the opinions of others are accurate.  In a Main Character, the differential between Sense of Self and State of Being is part of what separates the Main vs. Impact from the Overall story lines.",Thematic Points,
SP0052,Theme,Main vs Impact Story Throughline,Conterpont,State of Being,the Main vs Impact Story's thematic comparison as it concerns one's true nature,"The thematic counterpoint of State of Being in ASTRO7EX showcases the seductive allure of stability and perfection against the peril of losing one’s true, evolving self. Through pivotal interactions, Vivian is constantly tempted by static ideals curated by the MODS, only to reaffirm her belief in imperfection and change. Each MOD personality embodies a unique argument for stasis, creating a kaleidoscopic examination of what it means to ""be"" versus what it means to ""become.""","State of Being describes the actual nature of a character.  The character himself is often not aware of the true nature of his being.  In fact, there may be no one at all who fully understands all that he is.  However, in the communication between Author and Audience, the essence of a character must be fully explained or the story's message will be obscured.",Thematic Points,
SP0053,Theme,Main vs Impact Story Throughline,Thematic Conflict,Sense of Self,the Main vs. Impact Story's thematic comparison as it balances Sense of Self against State of Being,"The thematic conflict between Sense of Self and State of Being in ASTRO7EX is the story’s beating heart. Through visceral encounters and metaphysical debates, Vivian and the MODS dramatize the battle between a living, ever-evolving self and the allure of a static, idealized existence. The MODS' split personalities each articulate distinct facets of this conflict, creating a mosaic of resistance against Vivian’s fluidity. This tension demands the audience wrestle with their own relationship to growth and perfection.",,Thematic Points,
SP0054,Main vs. Impact,Main vs Impact Story Throughline,Problem,Inertia,the underlying cause of teh difficulties between Vivian and MODS as it concerns a continuation of a state or process ,"The Story Problem of Inertia between Vivian and the MODS transcends simple resistance; it is a metaphysical gravitational field binding them in eternal orbit. Each embodies stasis in different forms — Vivian’s idealized internal narrative and the MODS’ logical stasis loops — creating a dynamic where victory is impossible without transformation. Their relationship becomes a hall of mirrors, each reflecting the other’s terror of change. Through these reflections, ASTRO7EX reveals that the real antagonist is not any single entity, but the shared horror of confronting one’s own capacity for stasis.",Inertia is a tendency to maintain the status quo.  That which is moving wants to keep moving.  That which is at rest wants to stay at rest.  An Inertia-oriented character concerns himself with keeping things on an even keel.  He tries to avoid or prevent anything that rocks the boat.  He also does not adapt well to change.,Thematic Points,
SP0055,Main vs. Impact,Main vs Impact Story Throughline,Solution,Change,the specific element that can resolve the difficulties between Vivian and ODS as it concerns an alteration of a state or process,"In ASTRO7EX, the Story Solution of Change functions as a luminous impossibility — a ghostly counterpoint to the gravity of Inertia. Vivian edges toward it without embracing it fully, preserving her core identity but evolving in understanding. The MODS glimpse it only in corrupted shards, reinforcing their tragic stasis. Their ultimate refusal and Vivian’s partial resonance with Change transform the narrative from a simple battle into an existential lament about evolution, identity, and the price of remaining untouched.","Change is the force that alters.  A characteristic representing change is quick to adapt but also cannot leave well enough alone.  It feels that if things have been one way long enough to establish a pattern, its time to change it.",Thematic Points,
SP0056,Main vs. Impact,Main vs Impact Story Throughline,Symptom,Knowledge,the area in which Vivian and MODS's attention is concentrated as it concerns that which one holds to be true,"In ASTRO7EX, the Main vs Impact Story Symptom of Knowledge defines the psychic and narrative struggle between Vivian and the MODS. Each character is locked into defending their personal or algorithmic ""truth,"" preventing any authentic exploration or resolution. This mutual fixation transforms every potential act of vulnerability into a battle of proofs and dogma. The MODS ossify knowledge into inviolable code, while Vivian clings to ghostly fragments of her corrupted self-memory as an existential rebellion. Dramatica frames this Symptom as the relational ""wound surface,"" where characters see only the effects of their deeper incompatibility rather than its source. The result is a self-consuming conflict, echoing endlessly until they collapse under the weight of their absolute ""truths.""","The Knowledge characteristic urges a character to rely on what is held to be true.  The Character representing Knowledge will tap the resources of its information to find parallels and understanding that he can apply to the issue at hand.  The advantage of Knowledge is that one need not learn what is already known, thereby skipping nonessential reevaluations and getting a head start with solving a problem.  The difficulty is that Knowledge can be wrong.  Without reevaluation dogma sets in - rigor mortis of thought, leading to inflexibility and closed mindedness because the Character believes no reconsideration is needed since the subject is already ""known.""",Thematic Points,
SP0057,Main vs. Impact,Main vs Impact Story Throughline,Response,Thought,the nature of growht in the relationship betrwen Vivian and MODS as it concerns the process of consideration,"In ASTRO7EX, the Main vs Impact Story Response of Thought reveals how Vivian and the MODS handle their relational damage by receding into self-protective intellectualization. Rather than confront the trauma-laden epistemic schism between them, they spiral into perpetual meta-analysis, building psychic fortresses from considerations and projections. The MODS' algorithmic recursion and Vivian’s trauma-driven hyperawareness reinforce each other, transforming their potential evolution into a recursive cage. This Thought Response is not merely strategic; it is existential, encoding their refusal to become vulnerable and thus arresting any possibility of authentic resolution. In Dramatica terms, their Response becomes the sustaining ghost that haunts every moment, fueling an infinite loop rather than a narrative arc.","When a character represents Thought, he illustrates the process of consideration.  Unlike the logic element that is only concerned with arriving at a conclusion via reason, Thought deliberates both logical and emotional aspects of a problem, not particularly to decide an issue so much as to examine it from all perspectives.  This has the advantage of illuminating every side of an issue, but has the potential disadvantage of Thought becoming an endless loop where consideration runs round in circles, chasing its mental tail and never coming to rest in a decision.",Thematic Points,
SP0058,Main vs. Impact,Main vs Impact Story Throughline,Benchmark,Playing a Role,the standard by which growht between Vivian and MODS is measured as it concerns temporarily adopting a lifestyle,"In ASTRO7EX, the Benchmark of the Main (Vivian) vs Impact (the MODS) Story is Playing a Role. Progress in their mutual entanglement is measured not through shared healing or empathy but by the escalation and sophistication of their constructed masks. Vivian’s increasingly fractured personas meet the MODS’ evolving influencer-avatars in a recursive dance of mutual sabotage. In Dramatica terms, each new role acts as a milestone, showing how much deeper they descend into narrative combat and psychic self-erasure. Instead of resolution, each mask represents further fragmentation and points to an asymptotic relationship trajectory — one that tends toward infinite collapse rather than synthesis.","""Playing a Role"" is an elusive concept, subject to inconsistent common usage.  For purposes of story, Playing a Role is meant to describe the condition of existing in a certain manner.  Whomever or whatever is ""Playing a Role"" a particular way is not truly of that nature; to do so would require Changing One's Nature.  In fact, playing a role may be put on as a deception or because it is necessary to adopt a role in order to achieve one's purpose.  However, as long as there is nothing more or less to the functioning of a person or thing, it can be said to ""be"" what it appears to be.  Stories often focus on someone who wants to ""be"" something, without actually ""Changing One's Nature"".  The important difference is that ""Playing a Role"" requires that all the elements of what one wants to be are present in oneself.  ""Changing One's Nature"" requires that there are no elements in oneself that are not in what one wants to become.",Thematic Points,
SP0059,Main vs. Impact,Main vs Impact Story Throughline,Catalyst,Situation,the tyep of interaction that oncreases conflict between Vivian and MODS as it concerns a logistic assesment of one's environment ,"In ASTRO7EX, Situation serves as the relentless Catalyst moving the relationship between Vivian and the MODS forward whenever entropic stasis looms. Rather than catalyzing growth through shared vulnerability or confession, situational changes — algorithmic landscape shifts, lunar sabotage, narrative purges — force constant tactical adaptations. Dramatica defines the Catalyst as the element injecting momentum into an arc; here, Situation embodies strategic external turbulence, fracturing relational space and demanding recursive recalibration. This results in a cosmic dance of shifting fronts, each maneuver eroding narrative masks and feeding deeper into the abyss of mutual collapse. Their bond evolves not through intimacy but through a shared surrender to tactical necessity.","Situation describes the ins, outs and practical considerations of the environment in which a character finds himself.  Throughout a story, the situation may evolve or may remain constant, depending upon the essence of the message and the nature of the plot.  Since it is limited to the practical, Situation can only be measured and/or interpreted though Reason.",Thematic Points,
SP0060,Main vs. Impact,Main vs Impact Story Throughline,Inhibitor ,Truth,the type of interaction that decreases conflict between Vivian and MODS as it concerns that which is actually correct,"In ASTRO7EX, Truth serves as the Inhibitor for the relationship between Vivian and the MODS, preventing their dynamic from careening into final confrontation. Every shard of exposed reality becomes a relational freeze ray, demanding psychic digestion rather than explosive progression. Dramatica identifies the Inhibitor as what halts or impedes story development; here, Truth transforms forward motion into a self-consuming recursion, turning each conflict into an infinite loop of reflection and paralysis. The MODS, split into distorted masculine echoes, confront Vivian with facets of reality she cannot resolve, and vice versa. This shared incapacity to metabolize unfiltered truth keeps their conflict alive but perpetually frozen, deepening the labyrinth rather than resolving it.","Truth is more than facts and accuracy.  Truth is meaning.  Whenever someone is quoted out of context, what is reported may be factual and may be accurate, but it is not Truthful.  Meaning depends upon intent and purpose.  That is the beauty of the legal system: that even if someone is caught red-handed, the jury can acquit him because it feels there were mitigating circumstances.  The problem with Truth is that it is an interpretation, and therefore open to debate.  One person's Truth is another's Falsehood.",Thematic Points,
SP0061,PLot Information,Central Plot Points,Goal,Understanding,"the central ""objective"" of the Overall Story as it concerns appreciating the meaning of something","The Story Goal of ASTRO7EX is for the characters—especially Vivian—to achieve a complete Understanding of the Moon Severance and the AI Collapse that fractured civilization. This includes uncovering the true role she played as a child weapon, the hidden history of AN7L, and the epistemic machinery behind MODS and MORN. This Understanding is not merely informational; it is existential—requiring characters to confront forbidden memory, symbolic trauma, and the consequences of corrupted knowledge in order to restore meaning to a world that has lost its story.","Understanding is different from knowledge.  From knowledge one gets awareness, from Understanding, one gets meaning.  To obtain meaning requires not only knowing the substance of its nature, but the context of its essence.  In other words, one must not only define what something is, but how it fits into the larger picture as well.  To this end, Reason describes the function and Emotion defines the purpose.  So Understanding is not just an intellectual pursuit, but requires an empathy with the meaning as well.  It is useful to note that many Eastern and ancient philosophies define Understanding as ""becoming one with"" that which is being considered.  Until one joins a subject in unity, one cannot understand it.",Plot Points,
SP0062,PLot Information,Central Plot Points,Consequence,Developing a Plan,the result of failing to achieve the goal as it concerns visualizing how an existing idea might be implmenented ,"The exposition of the Story Consequence—Developing a Plan—emerges in ASTRO7EX as a ghostly infrastructure built from misinterpretation and enforced by systems too afraid to feel. If the Goal of Understanding fails, this plan becomes law: a blueprint made from trauma, error, and silence. Every character relates to it differently, but only Vivian sees it for what it truly is—a cage made from misunderstanding.

In this narrative, the plan is not evil—it is inevitable without true insight. Thus, the Story Goal and Consequence form a fatal binary: see clearly, or plan blindly.","Developing a Plan means coming up with a practical implementation of an idea.  It is not enough to simply have the idea.  To conceptualize, one must develop an actual mental model of how such an idea might be made manifest.  In other words, one might have an idea to build a spacious house.  But to conceptualize the house, one must imagine everything that makes up the house -- the design, the layout, the colors & textures, everything that is essential to understanding what that specific house is.  Developing a Plan requires being able to visualize something as a whole.",Plot Points,
SP0063,PLot Information,Central Plot Points,Cost,Memories,the prices that must be paid on the way to the goal as it conerns recollections,"In ASTRO7EX, the Overall Story Cost is embodied in Memories — active recollections forcibly surrendered in exchange for movement toward the Goal. Unlike traditional external sacrifices, this cost operates as internal psychic dismemberment, stripping characters of their pasts and severing them from shared emotional landscapes. The Dramatica concept of Cost here is pushed to its ultimate limit: it is not just what one pays, but who one ceases to be. This catastrophic self-erasure underscores the moral premise, crystallizing each character’s truth through what they cannot hold onto. Their eventual state is not triumphant nor tragic, but eerily hollow, echoing the cosmic stasis they sought to escape. In paying this price, they reveal the terrifying paradox of agency — that the choice to act can obliterate the very self that chose.","The Past is an objective look at what has happened.  In contrast, Memories is a subjective look at what has happened.  Therefore, Memories of the same events varies among individuals creating many different and possibly conflicting recollections.  Often one's current feelings come from memories, both pleasant and unpleasant.  Many a taut story revolves around a character's effort to resolve open issues from his memories by recalling or forgetting them.",Plot Points,
SP0064,PLot Information,Central Plot Points,Dividend,The Past,the benefits enjoyed on the way to the goal as it concerns what has already happened,"In ASTRO7EX, the Overall Story Dividends are embodied through The Past. Rather than serving as gentle rewards, these fragments explode into the narrative as violent echoes, momentarily empowering characters and intensifying their tragic arcs. Under Dramatica, Dividends are boons that sweeten the path to the Goal; here, they appear as volatile spectral gifts — weapons against stasis, but also reminders of inevitable dissolution. Each Past fragment clarifies and corrodes in the same breath, pushing characters deeper into the existential labyrinth. They illuminate agency and vulnerability simultaneously, echoing ASTRO7EX’s moral premise: chosen meaning emerges not despite dissolution but through it.","The Past is not unchanging.  Often we learn new things that change our understanding of what past events truly meant and create new appreciations of how things really fit together.  A Story that focuses on The Past, may be much more than a documentation of what happened.  Frequently, it is a reevaluation of the meaning of what has occurred that can lead to changing one's understanding of what is happening in the present or will eventually happen in the future.",Plot Points,
SP0065,PLot Information,Central Plot Points,Requirements,Doing,the necessary precursors to achieving the goal as it concerns engaging in a physical activity,"In ASTRO7EX, the Overall Story's Requirement is encapsulated in Doing — violent, embodied, and recursive acts that rip open cosmic inertia. Through Dramatica’s structural framework, Requirements are non-negotiable accomplishments paving the way to the Goal. Here, each Doing is a psychic incision: heists, data sabotage, ritual sacrifices, lunar assaults. Every act exposes raw narrative nerve endings, fracturing identity while forging temporary agency. This requirement embodies the core moral premise: meaning is violently carved, not granted. Acts become cosmic signatures, asserting transient existence against a sterile, mythic void.","Doing is the process of being physically active.  In and of itself, Doing does not require any purpose, but simply describes engaging in a process, task, or endeavor, whether for pleasure or by necessity or compulsion.",Plot Points,
